chain_id,seq_idx,id,user_id,parent_id,thread_id,chain_len,user_a,user_b
145,2,777,531,735,733,3,531,636
146,0,733,531,-1,733,3,531,636
146,1,735,636,733,733,3,531,636
146,2,777,531,735,733,3,531,636
147,0,733,531,-1,733,3,531,636
147,1,735,636,733,733,3,531,636
147,2,777,531,735,733,3,531,636
148,0,784,545,781,733,3,545,559
148,1,785,559,784,733,3,545,559
148,2,881,545,785,733,3,545,559
149,0,733,531,-1,733,3,531,636
149,1,735,636,733,733,3,531,636
149,2,777,531,735,733,3,531,636
150,0,784,545,781,733,3,545,559
150,1,785,559,784,733,3,545,559
150,2,881,545,785,733,3,545,559
151,0,733,531,-1,733,3,531,636
151,1,735,636,733,733,3,531,636
151,2,777,531,735,733,3,531,636
152,0,784,545,781,733,3,545,559
152,1,785,559,784,733,3,545,559
152,2,881,545,785,733,3,545,559
153,0,733,531,-1,733,3,531,636
153,1,735,636,733,733,3,531,636
153,2,777,531,735,733,3,531,636
154,0,784,545,781,733,3,545,559
154,1,785,559,784,733,3,545,559
154,2,881,545,785,733,3,545,559
155,0,881,545,785,733,3,545,666
155,1,884,666,881,733,3,545,666
155,2,1148,545,884,733,3,545,666
156,0,733,531,-1,733,3,531,636
156,1,735,636,733,733,3,531,636
156,2,777,531,735,733,3,531,636
157,0,784,545,781,733,3,545,559
157,1,785,559,784,733,3,545,559
157,2,881,545,785,733,3,545,559
158,0,733,531,-1,733,3,531,636
158,1,735,636,733,733,3,531,636
158,2,777,531,735,733,3,531,636
159,0,733,531,-1,733,3,531,636
159,1,735,636,733,733,3,531,636
159,2,777,531,735,733,3,531,636
160,0,788,594,785,733,3,594,283
160,1,790,283,788,733,3,594,283
160,2,850,594,790,733,3,594,283
161,0,733,531,-1,733,3,531,636
161,1,735,636,733,733,3,531,636
161,2,777,531,735,733,3,531,636
162,0,788,594,785,733,3,594,283
162,1,790,283,788,733,3,594,283
162,2,850,594,790,733,3,594,283
163,0,850,594,790,733,3,594,679
163,1,853,679,850,733,3,594,679
163,2,892,594,853,733,3,594,679
164,0,733,531,-1,733,3,531,636
164,1,735,636,733,733,3,531,636
164,2,777,531,735,733,3,531,636
165,0,788,594,785,733,3,594,283
165,1,790,283,788,733,3,594,283
165,2,850,594,790,733,3,594,283
166,0,850,594,790,733,3,594,679
166,1,853,679,850,733,3,594,679
166,2,892,594,853,733,3,594,679
167,0,733,531,-1,733,3,531,636
167,1,735,636,733,733,3,531,636
167,2,777,531,735,733,3,531,636
168,0,788,594,785,733,3,594,283
168,1,790,283,788,733,3,594,283
168,2,850,594,790,733,3,594,283
169,0,850,594,790,733,3,594,679
169,1,853,679,850,733,3,594,679
169,2,892,594,853,733,3,594,679
170,0,733,531,-1,733,3,531,636
170,1,735,636,733,733,3,531,636
170,2,777,531,735,733,3,531,636
